日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2015/11/09,120.00,142.00,119.00,140.00,0.00,0.00,,,,,,4397,,0.0000,,,0.0000,,,-20500,-20500,40150,,,0,,,34,,,40184,,,0.000,
2015/11/10,130.00,145.00,128.50,139.00,-1.00,-0.7143,,,,,,1971,,0.0000,,,0.0000,,,-20790,-290,40145,,,0,,,47,,,40192,,,0.000,
2015/11/11,138.50,143.50,132.00,133.00,-6.00,-4.3165,,,,,,1277,,0.0000,,,0.0000,,,-21361,-571,40121,,,0,,,94,,,40215,,,0.000,
2015/11/12,132.50,135.00,117.50,124.00,-9.00,-6.7669,,,,,,1279,,0.0000,,,0.0000,,,-21431,-70,40118,,,0,,,78,,,40196,,,0.000,
2015/11/13,119.00,127.00,118.00,127.00,3.00,2.4194,132.6000,,,,,641,1913,0.0000,0.0000,,0.0000,0.0000,,-21803,-372,40114,40130,,0,0,,70,65,,40184,40194,,0.000,
2015/11/16,123.00,133.00,123.00,133.00,6.00,4.7244,131.2000,,,,,798,1193,0.0000,0.0000,,0.0000,0.0000,,-22067,-264,40158,40131,,0,0,,145,87,,40303,40218,,0.000,
2015/11/17,133.00,136.50,128.00,128.50,-4.50,-3.3835,129.1000,,,,,825,964,0.0000,0.0000,,0.0000,0.0000,,-21542,525,40188,40140,,0,0,,120,101,,40308,40241,,0.000,
2015/11/18,126.50,128.50,122.00,125.00,-3.50,-2.7237,127.5000,,,,,514,811,0.0000,0.0000,,0.0000,0.0000,,-21816,-274,40168,40149,,0,0,,110,105,,40278,40254,,0.000,
2015/11/19,124.50,127.50,122.50,123.00,-2.00,-1.60,127.3000,,,,,382,632,0.0000,0.0000,,0.0000,0.0000,,-21391,425,40151,40156,,0,0,,0,89,,40151,40245,,0.000,
2015/11/20,124.00,135.00,123.50,135.00,12.00,9.7561,128.9000,130.7500,,,,980,699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21447,-56,40149,40163,40146,0,0,0,47,84,74,40196,40247,40221,0.000,
2015/11/23,138.00,138.50,130.50,131.50,-3.50,-2.5926,128.6000,129.9000,,,,1015,743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21439,8,40211,40173,40152,0,0,0,35,62,75,40246,40236,40227,0.000,
2015/11/24,133.50,135.50,123.00,125.50,-6.00,-4.5627,128.0000,128.5500,,,,677,713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21883,-444,40191,40174,40157,0,0,0,15,41,71,40206,40215,40228,0.000,
2015/11/25,125.00,125.50,120.00,124.00,-1.50,-1.1952,127.8000,127.6500,,,,624,735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22241,-358,40184,40177,40163,0,0,0,93,38,71,40277,40215,40234,0.000,
2015/11/26,124.50,126.50,122.00,124.00,0.00,0.00,128.0000,127.6500,,,,447,748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21842,399,40130,40173,40164,0,0,0,108,60,74,40238,40233,40239,0.000,
2015/11/27,122.00,123.00,120.00,121.50,-2.50,-2.0161,125.3000,127.1000,,,,343,621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22134,-292,40119,40167,40165,0,0,0,113,73,79,40232,40240,40244,0.000,
2015/11/30,120.00,120.50,109.50,110.00,-11.50,-9.465,121.0000,124.8000,,,,778,573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22611,-477,40109,40147,40160,0,0,0,135,93,78,40244,40239,40238,0.000,
2015/12/01,110.50,112.50,104.00,108.00,-2.00,-1.8182,117.5000,122.7500,,,,585,555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22086,525,40085,40125,40150,0,0,0,109,112,76,40194,40237,40226,0.000,
2015/12/02,108.00,118.00,105.50,114.00,6.00,5.5556,115.5000,121.6500,,,,668,564,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22057,29,40111,40111,40144,0,0,0,85,110,74,40196,40221,40218,0.000,
2015/12/03,114.00,121.50,112.00,115.00,1.00,0.8772,113.7000,120.8500,,,,598,594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22047,10,40094,40104,40138,0,0,0,92,107,83,40186,40210,40222,0.000,
2015/12/04,118.00,120.00,115.50,116.00,1.00,0.8696,112.6000,118.9500,124.8500,,,551,636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22183,-136,40087,40097,40132,0,0,0,138,112,92,40225,40209,40224,0.000,
2015/12/07,116.50,117.00,109.00,110.00,-6.00,-5.1724,112.6000,116.8000,123.3500,,,297,539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22037,146,40089,40093,40120,0,0,0,108,106,100,40197,40200,40220,0.000,
2015/12/08,111.50,111.50,103.00,105.00,-5.00,-4.5455,112.0000,114.7500,121.6500,,,340,490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22506,-469,40088,40094,40110,0,0,0,85,102,107,40173,40195,40216,0.000,
